date,region,industry,customers,leads,conversions,revenue,expenses,satisfaction,churn_rate
2026-09-01,Edmonton,Finance,54,133,64,15747.52,10701.41,4.29,0.0678
2026-09-01,Calgary,Finance,53,117,35,13490.11,8402.04,4.05,0.0804
2026-09-01,Edmonton,E-commerce,57,138,63,13735.21,8835.01,4.38,0.031
2026-09-01,Calgary,E-commerce,57,121,48,15279.11,9529.82,4.18,0.0717
2026-10-01,Edmonton,Retail,49,121,38,12333.24,8733.43,4.05,0.0522
2026-10-01,Calgary,Retail,60,130,61,16433.49,9754.53,4.17,0.0551
2026-10-01,Edmonton,Restaurant,44,109,46,7739.42,4818.51,4.32,0.0534
2026-10-01,Calgary,Restaurant,41,78,24,6648.12,4835.99,4.25,0.0981
2026-10-01,Edmonton,Healthcare,44,95,45,8653.47,5084.29,4.24,0.0379
2026-10-01,Calgary,Healthcare,51,94,40,10820.82,6775.69,4.08,0.0571
2026-10-01,Edmonton,Finance,53,117,41,10825.36,6524.87,4.07,0.0637
2026-10-01,Calgary,Finance,58,103,46,15500.01,10242.59,4.48,0.051
2026-10-01,Edmonton,E-commerce,61,131,38,13787.42,7985.66,4.49,0.0206
2026-10-01,Calgary,E-commerce,59,146,61,15854.8,11216.93,4.3,0.0576
2026-11-01,Edmonton,Retail,54,95,45,10759.17,6523.4,4.23,0.0518
2026-11-01,Calgary,Retail,58,145,42,9834.87,6962.08,4.16,0.0345
2026-11-01,Edmonton,Restaurant,40,72,22,7064.6,4015.49,4.22,0.0782
2026-11-01,Calgary,Restaurant,39,99,35,7918.6,5172.63,4.62,0.0322
2026-11-01,Edmonton,Healthcare,44,100,35,9579.64,6339.13,3.95,0.0508
2026-11-01,Calgary,Healthcare,59,107,35,12719.55,8460.16,4.42,0.0759
2026-11-01,Edmonton,Finance,58,135,39,12326.56,8916.8,4.09,0.0259
2026-11-01,Calgary,Finance,60,118,49,16176.76,11872.05,4.39,0.0425
2026-11-01,Edmonton,E-commerce,54,131,56,13952.48,8178.92,4.6,0.0699
2026-11-01,Calgary,E-commerce,66,151,50,20139.98,13595.8,4.81,0.065
2026-12-01,Edmonton,Retail,52,98,39,13468.67,7967.05,4.44,0.0619
2026-12-01,Calgary,Retail,58,141,49,14280.22,9004.78,4.15,0.0409
2026-12-01,Edmonton,Restaurant,40,83,32,9431.96,6000.22,4.32,0.0434
2026-12-01,Calgary,Restaurant,44,112,32,9299.13,6109.12,4.59,0.0205
2026-12-01,Edmonton,Healthcare,49,101,39,9315.45,5567.47,4.18,0.0454
2026-12-01,Calgary,Healthcare,48,91,26,11305.1,7406.69,4.34,0.0364
2026-12-01,Edmonton,Finance,56,126,60,17025.21,11401.93,3.96,0.0727
2026-12-01,Calgary,Finance,63,160,50,15336.27,9518.15,4.47,0.0564
2026-12-01,Edmonton,E-commerce,59,130,55,15674.36,11501.87,4.04,0.0438
2026-12-01,Calgary,E-commerce,67,165,47,18258.69,10795.73,3.98,0.0834
